"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4951","Login with valid credentials","firefox","2026-05-18","passed","2026-05-18","","login.spec.ts","",""
"","5855","Add product to cart","firefox","2026-05-18","passed","2026-05-18","","add-to-cart.spec.ts","",""
"","3735","Search for product that does not exist","firefox","2026-05-18","passed","2026-05-18","","search-products.spec.ts","",""
"","5344","Login with valid credentials","webkit","2026-05-18","passed","2026-05-18","","login.spec.ts","",""
"","7310","User Logout","firefox","2026-05-18","passed","2026-05-18","","logout.spec.ts","",""
"","5812","Login with valid credentials","chromium","2026-05-18","passed","2026-05-18","","login.spec.ts","",""
"","6103","User Logout","chromium","2026-05-18","passed","2026-05-18","","logout.spec.ts","",""
"","3716","Search for product and select product","chromium","2026-05-18","passed","2026-05-18","","search-products.spec.ts","",""
"","5733","Register a new user","chromium","2026-05-18","passed","2026-05-18","","account-registration.spec.ts","",""
"","5487","Add product to cart","chromium","2026-05-18","passed","2026-05-18","","add-to-cart.spec.ts","",""
"","3199","Search for product that does not exist","chromium","2026-05-18","passed","2026-05-18","","search-products.spec.ts","",""
"","9158","User Logout","webkit","2026-05-18","passed","2026-05-18","","logout.spec.ts","",""
"","4317","Search for product and select product","webkit","2026-05-18","passed","2026-05-18","","search-products.spec.ts","",""
"","5702","Add product to cart","webkit","2026-05-18","passed","2026-05-18","","add-to-cart.spec.ts","",""
"","4810","Search for product and select product","firefox","2026-05-18","passed","2026-05-18","","search-products.spec.ts","",""
"","7769","Register a new user","firefox","2026-05-18","passed","2026-05-18","","account-registration.spec.ts","",""
"","3279","Search for product that does not exist","webkit","2026-05-18","passed","2026-05-18","","search-products.spec.ts","",""
"","9389","Register a new user","webkit","2026-05-18","passed","2026-05-18","","account-registration.spec.ts","",""
